"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Ethnicity"	"Ethnicity Code"	"Race"	"Race Code"	Population
	"Alameda County, CA"	"06001"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	8390
	"Alameda County, CA"	"06001"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	8384
	"Alameda County, CA"	"06001"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	9209
	"Alameda County, CA"	"06001"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	158461
	"Alameda County, CA"	"06001"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	2939
	"Alameda County, CA"	"06001"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	293184
	"Alameda County, CA"	"06001"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	96504
	"Alameda County, CA"	"06001"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	271011
	"Alameda County, CA"	"06001"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	8794
	"Alameda County, CA"	"06001"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	8078
	"Alameda County, CA"	"06001"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	8918
	"Alameda County, CA"	"06001"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	162821
	"Alameda County, CA"	"06001"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	2509
	"Alameda County, CA"	"06001"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	272149
	"Alameda County, CA"	"06001"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	88554
	"Alameda County, CA"	"06001"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	271424
	"Alpine County, CA"	"06003"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	26
	"Alpine County, CA"	"06003"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	0
	"Alpine County, CA"	"06003"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	2
	"Alpine County, CA"	"06003"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	36
	"Alpine County, CA"	"06003"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	125
	"Alpine County, CA"	"06003"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	7
	"Alpine County, CA"	"06003"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	8
	"Alpine County, CA"	"06003"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	316
	"Alpine County, CA"	"06003"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	27
	"Alpine County, CA"	"06003"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	0
	"Alpine County, CA"	"06003"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	4
	"Alpine County, CA"	"06003"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	44
	"Alpine County, CA"	"06003"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	123
	"Alpine County, CA"	"06003"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	11
	"Alpine County, CA"	"06003"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	11
	"Alpine County, CA"	"06003"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	389
	"Amador County, CA"	"06005"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	171
	"Amador County, CA"	"06005"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	44
	"Amador County, CA"	"06005"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	45
	"Amador County, CA"	"06005"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	1876
	"Amador County, CA"	"06005"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	315
	"Amador County, CA"	"06005"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	403
	"Amador County, CA"	"06005"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	172
	"Amador County, CA"	"06005"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	15088
	"Amador County, CA"	"06005"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	251
	"Amador County, CA"	"06005"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	85
	"Amador County, CA"	"06005"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	89
	"Amador County, CA"	"06005"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	3192
	"Amador County, CA"	"06005"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	426
	"Amador County, CA"	"06005"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	341
	"Amador County, CA"	"06005"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	1001
	"Amador County, CA"	"06005"	"Male"	"M"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	16253
	"Butte County, CA"	"06007"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	1370
	"Butte County, CA"	"06007"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	369
	"Butte County, CA"	"06007"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	467
	"Butte County, CA"	"06007"	"Female"	"F"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	16363
	"Butte County, CA"	"06007"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	2072
	"Butte County, CA"	"06007"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	6159
	"Butte County, CA"	"06007"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	2414
	"Butte County, CA"	"06007"	"Female"	"F"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	81499
	"Butte County, CA"	"06007"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	1324
	"Butte County, CA"	"06007"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	392
	"Butte County, CA"	"06007"	"Male"	"M"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	436
