county,id,county_code,dominant_race,dominant_ethnicity
Alameda County,0500000US06001,06001,Dominantly non-white,Not Hispanic or Latino
Alpine County,0500000US06003,06003,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Amador County,0500000US06005,06005,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Butte County,0500000US06007,06007,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Calaveras County,0500000US06009,06009,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Colusa County,0500000US06011,06011,Dominantly non-white,Hispanic or Latino
Contra Costa County,0500000US06013,06013,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Del Norte County,0500000US06015,06015,Dominantly white (non-Hispanic only),Not Hispanic or Latino
El Dorado County,0500000US06017,06017,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Fresno County,0500000US06019,06019,Dominantly non-white,Hispanic or Latino
Glenn County,0500000US06021,06021,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Humboldt County,0500000US06023,06023,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Imperial County,0500000US06025,06025,Dominantly non-white,Hispanic or Latino
Inyo County,0500000US06027,06027,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Kern County,0500000US06029,06029,Dominantly non-white,Hispanic or Latino
Kings County,0500000US06031,06031,Dominantly non-white,Hispanic or Latino
Lake County,0500000US06033,06033,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Lassen County,0500000US06035,06035,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Los Angeles County,0500000US06037,06037,Dominantly non-white,Not Hispanic or Latino
Madera County,0500000US06039,06039,Dominantly non-white,Hispanic or Latino
Marin County,0500000US06041,06041,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Mariposa County,0500000US06043,06043,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Mendocino County,0500000US06045,06045,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Merced County,0500000US06047,06047,Dominantly non-white,Hispanic or Latino
Modoc County,0500000US06049,06049,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Mono County,0500000US06051,06051,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Monterey County,0500000US06053,06053,Dominantly non-white,Hispanic or Latino
Napa County,0500000US06055,06055,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Nevada County,0500000US06057,06057,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Orange County,0500000US06059,06059,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Placer County,0500000US06061,06061,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Plumas County,0500000US06063,06063,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Riverside County,0500000US06065,06065,Dominantly non-white,Hispanic or Latino
Sacramento County,0500000US06067,06067,Dominantly white (non-Hispanic only),Not Hispanic or Latino
San Benito County,0500000US06069,06069,Dominantly non-white,Hispanic or Latino
San Bernardino County,0500000US06071,06071,Dominantly non-white,Hispanic or Latino
San Diego County,0500000US06073,06073,Dominantly white (non-Hispanic only),Not Hispanic or Latino
San Francisco County,0500000US06075,06075,Dominantly white (non-Hispanic only),Not Hispanic or Latino
San Joaquin County,0500000US06077,06077,Dominantly non-white,Not Hispanic or Latino
San Luis Obispo County,0500000US06079,06079,Dominantly white (non-Hispanic only),Not Hispanic or Latino
San Mateo County,0500000US06081,06081,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Santa Barbara County,0500000US06083,06083,Dominantly non-white,Not Hispanic or Latino
Santa Clara County,0500000US06085,06085,Dominantly non-white,Not Hispanic or Latino
Santa Cruz County,0500000US06087,06087,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Shasta County,0500000US06089,06089,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Sierra County,0500000US06091,06091,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Siskiyou County,0500000US06093,06093,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Solano County,0500000US06095,06095,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Sonoma County,0500000US06097,06097,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Stanislaus County,0500000US06099,06099,Dominantly non-white,Not Hispanic or Latino
Sutter County,0500000US06101,06101,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Tehama County,0500000US06103,06103,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Trinity County,0500000US06105,06105,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Tulare County,0500000US06107,06107,Dominantly non-white,Hispanic or Latino
Tuolumne County,0500000US06109,06109,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Ventura County,0500000US06111,06111,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Yolo County,0500000US06113,06113,Dominantly white (non-Hispanic only),Not Hispanic or Latino
Yuba County,0500000US06115,06115,Dominantly white (non-Hispanic only),Not Hispanic or Latino
