id,county,estimate_housing_occupancy_total_housing_units_occupied_housing_units,percent_housing_occupancy_total_housing_units_occupied_housing_units,estimate_housing_occupancy_total_housing_units_vacant_housing_units,percent_housing_occupancy_total_housing_units_vacant_housing_units,estimate_housing_occupancy_total_housing_units_homeowner_vacancy_rate,estimate_housing_occupancy_total_housing_units_rental_vacancy_rate,estimate_units_in_structure_total_housing_units_1_unit_detached,estimate_units_in_structure_total_housing_units_1_unit_attached,estimate_units_in_structure_total_housing_units_2_units,estimate_units_in_structure_total_housing_units_3_or_4_units,estimate_units_in_structure_total_housing_units_5_to_9_units,estimate_units_in_structure_total_housing_units_10_to_19_units,estimate_units_in_structure_total_housing_units_20_or_more_units,estimate_units_in_structure_total_housing_units_mobile_home,estimate_units_in_structure_total_housing_units_boat_rv_van_etc,estimate_year_structure_built_total_housing_units_built_2014_or_later,percent_year_structure_built_total_housing_units_built_2014_or_later,estimate_year_structure_built_total_housing_units_built_2010_to_2013,percent_year_structure_built_total_housing_units_built_2010_to_2013,estimate_year_structure_built_total_housing_units_built_2000_to_2009,percent_year_structure_built_total_housing_units_built_2000_to_2009,estimate_year_structure_built_total_housing_units_built_1990_to_1999,percent_year_structure_built_total_housing_units_built_1990_to_1999,estimate_year_structure_built_total_housing_units_built_1980_to_1989,percent_year_structure_built_total_housing_units_built_1980_to_1989,estimate_year_structure_built_total_housing_units_built_1970_to_1979,percent_year_structure_built_total_housing_units_built_1970_to_1979,estimate_year_structure_built_total_housing_units_built_1960_to_1969,percent_year_structure_built_total_housing_units_built_1960_to_1969,estimate_year_structure_built_total_housing_units_built_1950_to_1959,percent_year_structure_built_total_housing_units_built_1950_to_1959,estimate_year_structure_built_total_housing_units_built_1940_to_1949,percent_year_structure_built_total_housing_units_built_1940_to_1949,estimate_year_structure_built_total_housing_units_built_1939_or_earlier,percent_year_structure_built_total_housing_units_built_1939_or_earlier,estimate_rooms_total_housing_units_median_rooms,estimate_occupants_per_room_occupied_housing_units,estimate_occupants_per_room_occupied_housing_units_1_00_or_less,estimate_occupants_per_room_occupied_housing_units_1_01_to_1_50,estimate_occupants_per_room_occupied_housing_units_1_51_or_more
0500000US06001,Alameda County,585632,0.94,37325,0.06,1,3.4,325131,50750,23840,42049,34068,32649,106782,7422,266,18031,0.028999999999999998,8865,0.013999999999999999,46168,0.07400000000000001,53885,0.086,66967,0.107,98930,0.159,87371,0.14,82772,0.133,40903,0.066,119065,0.191,4.7,585632,543503,27975,14154
0500000US06007,Butte County,77651,0.9009999999999999,8561,0.099,1.9,5.6,52297,2341,2644,5212,4276,2599,5882,10448,513,3756,0.044000000000000004,1303,0.015,10426,0.121,10958,0.127,17126,0.19899999999999998,16716,0.19399999999999998,7703,0.08900000000000001,8763,0.102,4376,0.051,5085,0.059000000000000004,5.1,77651,75190,1574,887
0500000US06013,Contra Costa County,399792,0.955,18904,0.045,0.7,4.4,273427,34382,5221,22552,14719,13523,46891,7380,601,10566,0.025,7641,0.018000000000000002,47658,0.114,53110,0.127,59707,0.14300000000000002,76793,0.183,62683,0.15,53763,0.128,29635,0.071,17140,0.040999999999999995,5.7,399792,377647,13997,8148
0500000US06017,El Dorado County,74216,0.81,17446,0.19,1.1,3.8,72412,2492,1633,4061,3080,1624,2011,4260,89,2974,0.032,534,0.006,14372,0.157,14037,0.153,18995,0.207,19013,0.207,9672,0.106,7080,0.077,2790,0.03,2195,0.024,5.5,74216,72301,1445,470
0500000US06019,Fresno County,315974,0.9390000000000001,20505,0.061,1.4,4.1,229995,5890,6860,25322,26261,9653,18253,13707,538,12988,0.039,10763,0.032,47109,0.14,49440,0.147,43650,0.13,61000,0.18100000000000002,40567,0.121,36961,0.11,17348,0.052000000000000005,16653,0.049,5.1,315974,283418,21012,11544
0500000US06023,Humboldt County,55692,0.8740000000000001,8031,0.126,0.6,4.7,42254,2778,1836,3570,2775,1435,2156,6614,305,1199,0.019,777,0.012,4460,0.07,10953,0.172,7858,0.12300000000000001,10626,0.16699999999999998,5425,0.085,9882,0.155,3914,0.061,8629,0.135,4.9,55692,52628,1441,1623
0500000US06025,Imperial County,48182,0.8270000000000001,10103,0.17300000000000001,1.6,1.9,36952,504,2314,3735,4439,2225,1944,5732,440,2755,0.047,1489,0.026000000000000002,10686,0.183,10931,0.188,8365,0.14400000000000002,9741,0.16699999999999998,5065,0.087,6068,0.10400000000000001,1750,0.03,1435,0.025,5.1,48182,43457,3308,1417
0500000US06029,Kern County,272888,0.9009999999999999,30039,0.099,1.4,4.7,215041,9503,8055,16457,10394,4778,14540,23934,225,14675,0.048,6738,0.022000000000000002,50522,0.16699999999999998,43406,0.14300000000000002,50658,0.16699999999999998,47414,0.157,30176,0.1,34267,0.113,13734,0.045,11337,0.037000000000000005,5.1,272888,248569,17668,6651
0500000US06031,Kings County,44761,0.953,2197,0.047,1.3,1.8,33478,1492,1854,3097,1100,322,3298,2291,26,1557,0.033,743,0.016,8899,0.19,8913,0.19,6591,0.14,7824,0.16699999999999998,4914,0.105,2662,0.057,2728,0.057999999999999996,2127,0.045,5.2,44761,39611,3528,1622
0500000US06033,Lake County,25968,0.7509999999999999,8598,0.249,0.8,1.6,N,N,N,N,N,N,N,N,N,1238,0.036000000000000004,454,0.013000000000000001,4618,0.134,3958,0.115,7269,0.21,5844,0.16899999999999998,4150,0.12,3211,0.09300000000000001,2004,0.057999999999999996,1820,0.053,5.1,N,N,N,N
0500000US06037,Los Angeles County,3328398,0.93,251025,0.07,1.1,4,1706954,210223,104052,215707,287412,274850,716568,60780,2877,74100,0.021,45678,0.013000000000000001,186336,0.052000000000000005,224846,0.063,417428,0.11699999999999999,495151,0.138,526484,0.147,719433,0.201,353755,0.099,536212,0.15,4.5,3328398,2957157,217873,153368
0500000US06039,Madera County,44387,0.863,7053,0.13699999999999998,0.9,2,40607,562,636,1612,1754,536,1172,4308,253,1852,0.036000000000000004,956,0.019,11030,0.214,9968,0.19399999999999998,7487,0.146,10014,0.195,3466,0.067,3621,0.07,2302,0.045,744,0.013999999999999999,5.6,44387,39412,3916,1059
