countyid,countyname,county_pop2019,female,male,american_indian_or_alaska_native,asian_or_pacific_islander,black_or_african_american,hispanic_or_latino,white,estimate_housing_occupancy_total_housing_units_occupied_housing_units,percent_housing_occupancy_total_housing_units_occupied_housing_units,estimate_housing_occupancy_total_housing_units_vacant_housing_units,percent_housing_occupancy_total_housing_units_vacant_housing_units,estimate_housing_occupancy_total_housing_units_homeowner_vacancy_rate,estimate_housing_occupancy_total_housing_units_rental_vacancy_rate,estimate_units_in_structure_total_housing_units_1_unit_detached,estimate_units_in_structure_total_housing_units_1_unit_attached,estimate_units_in_structure_total_housing_units_2_units,estimate_units_in_structure_total_housing_units_3_or_4_units,estimate_units_in_structure_total_housing_units_5_to_9_units,estimate_units_in_structure_total_housing_units_10_to_19_units,estimate_units_in_structure_total_housing_units_20_or_more_units,estimate_units_in_structure_total_housing_units_mobile_home,estimate_units_in_structure_total_housing_units_boat_rv_van_etc,estimate_year_structure_built_total_housing_units_built_2014_or_later,percent_year_structure_built_total_housing_units_built_2014_or_later,estimate_year_structure_built_total_housing_units_built_2010_to_2013,percent_year_structure_built_total_housing_units_built_2010_to_2013,estimate_year_structure_built_total_housing_units_built_2000_to_2009,percent_year_structure_built_total_housing_units_built_2000_to_2009,estimate_year_structure_built_total_housing_units_built_1990_to_1999,percent_year_structure_built_total_housing_units_built_1990_to_1999,estimate_year_structure_built_total_housing_units_built_1980_to_1989,percent_year_structure_built_total_housing_units_built_1980_to_1989,estimate_year_structure_built_total_housing_units_built_1970_to_1979,percent_year_structure_built_total_housing_units_built_1970_to_1979,estimate_year_structure_built_total_housing_units_built_1960_to_1969,percent_year_structure_built_total_housing_units_built_1960_to_1969,estimate_year_structure_built_total_housing_units_built_1950_to_1959,percent_year_structure_built_total_housing_units_built_1950_to_1959,estimate_year_structure_built_total_housing_units_built_1940_to_1949,percent_year_structure_built_total_housing_units_built_1940_to_1949,estimate_year_structure_built_total_housing_units_built_1939_or_earlier,percent_year_structure_built_total_housing_units_built_1939_or_earlier,estimate_rooms_total_housing_units_median_rooms,estimate_occupants_per_room_occupied_housing_units,estimate_occupants_per_room_occupied_housing_units_1_00_or_less,estimate_occupants_per_room_occupied_housing_units_1_01_to_1_50,estimate_occupants_per_room_occupied_housing_units_1_51_or_more,percent_new,percent_old,county_pop_2020,total_confirmed_cases,total_deaths,death_rate,confirmed_case_rate,percent_female,percent_male,percent_american_indian_or_alaska_native,percent_asian_or_pacific_islander,percent_black_or_african_american,percent_hispanic_or_latino,percent_white,total_housing_units,Parks usage percent during covid,Workspace usage percent during covid,Residential usage percent during covid,Housing units in multi-unit structures percent,Persons per household,Median household income in dollar,dominant_race,dominant_ethnicity,dominant_race_white,dominant_ethnicity_hispanic_or_latino,occupants_per_room_1_more_vs_1_less,percnet_housing_small,percnet_housing_small_medium
6001,Alameda,1671329,848082,823247,5448,565333,185058,373055,542435,585632,0.94,37325,0.06,1,3.4,325131,50750,23840,42049,34068,32649,106782,7422,266,18031,0.029,8865,0.014,46168,0.074,53885,0.086,66967,0.107,98930,0.159,87371,0.14,82772,0.133,40903,0.066,119065,0.191,4.7,585632,543503,27975,14154,0.609,0.39,1685886,21241,408,24.2009246176788,1259.93097991205,0.507429716112148,0.492570283887852,0.00325968136734299,0.338253569464779,0.110725057723524,0.223208596272787,0.324553095171567,622957,-1,-53,19,37.6,2.71,56166,Dominantly non-white,Not Hispanic or Latino,0,0,0.0775138315703869,0.024168761269876,0.0719376673405825
6003,Alpine,1129,520,609,248,18,19,139,705,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,1117,2,0,0,179.05102954342,0.460584588131089,0.539415411868911,0.219663418954827,0.0159433126660762,0.016829052258636,0.12311780336581,0.62444641275465,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6005,Amador,39752,18114,21638,741,744,1173,5753,31341,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,38531,294,16,41.525005839454,763.021982299966,0.455675186154156,0.544324813845844,0.0186405715435701,0.0187160394445563,0.0295079492855705,0.144722278124371,0.788413161601932,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6007,Butte,219186,110713,108473,4020,12220,5322,37731,159893,77651,0.901,8561,0.099,1.9,5.6,52297,2341,2644,5212,4276,2599,5882,10448,513,3756,0.044,1303,0.015,10426,0.121,10958,0.127,17126,0.199,16716,0.194,7703,0.089,8763,0.102,4376,0.051,5085,0.059,5.1,77651,75190,1574,887,0.789,0.212,217769,2848,44,20.2048960136659,1307.80781470274,0.505109815407919,0.494890184592082,0.0183405874462785,0.0557517359685381,0.0242807478579836,0.172141468889436,0.729485459837763,86212,28,-28,7,20.2,2.48,33443,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0327304162787605,0.0114229050495164,0.0316930883053663
6009,Calaveras,45905,23058,22847,750,959,656,5967,37573,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,44289,261,14,31.6105579263474,589.311115626905,0.502298224594271,0.497701775405729,0.0163380895327306,0.0208909704825182,0.0142903823112951,0.129985840322405,0.818494717351051,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6011,Colusa,21547,10572,10975,322,361,321,13018,7525,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,22593,534,6,26.5568981542956,2363.56393573231,0.490648350118346,0.509351649881654,0.0149440757414025,0.0167540724926904,0.0148976655682926,0.604167633545273,0.349236552652341,,,,,,,,Dominantly non-white,Hispanic or Latino,0,1,,,
6013,Contra Costa,1153526,589339,564187,4282,224442,111368,300420,513014,399792,0.955,18904,0.045,0.7,4.4,273427,34382,5221,22552,14719,13523,46891,7380,601,10566,0.025,7641,0.018,47658,0.114,53110,0.127,59707,0.143,76793,0.183,62683,0.15,53763,0.128,29635,0.071,17140,0.041,5.7,399792,377647,13997,8148,0.76,0.24,1160099,16716,207,17.8433047524392,1440.91150841437,0.510902225004031,0.489097774995969,0.00371209664975042,0.194570386796657,0.0965457215528735,0.260436262381602,0.444735532619117,418696,-14,-45,14,24,2.72,64424,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0586394172335541,0.0203805979109137,0.0553913034778085
6015,Del Norte,27812,12626,15186,2305,931,1106,5596,17874,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,27558,142,1,3.62871035633936,515.276870600189,0.453976700704732,0.546023299295268,0.0828778944340573,0.0334747590967928,0.0397670070473177,0.201208111606501,0.642672227815332,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6017,El Dorado,192843,96685,96158,1870,10857,2410,25378,152328,74216,0.81,17446,0.19,1.1,3.8,72412,2492,1633,4061,3080,1624,2011,4260,89,2974,0.032,534,0.006,14372,0.157,14037,0.153,18995,0.207,19013,0.207,9672,0.106,7080,0.077,2790,0.03,2195,0.024,5.5,74216,72301,1445,470,0.868,0.131,193098,1151,4,2.07148701695512,596.070389128836,0.501366396498706,0.498633603501294,0.00969700741017304,0.0562996841990635,0.0124972127585653,0.131599280243514,0.789906815388684,91662,191,-35,9,11.5,2.63,54034,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0264864939627391,0.00633286622830657,0.0258030613344831
6019,Fresno,999101,500453,498648,7141,108435,50814,537180,295531,315974,0.939,20505,0.061,1.4,4.1,229995,5890,6860,25322,26261,9653,18253,13707,538,12988,0.039,10763,0.032,47109,0.14,49440,0.147,43650,0.13,61000,0.181,40567,0.121,36961,0.11,17348,0.052,16653,0.049,5.1,315974,283418,21012,11544,0.79,0.211,1032227,28621,390,37.7823870137092,2772.74281722916,0.500903312077558,0.499096687922442,0.00714742553555647,0.108532570781132,0.0508597228908789,0.537663359360065,0.295796921432368,336479,25,-35,8,26.6,3.09,35952,Dominantly non-white,Hispanic or Latino,0,1,0.114869203790867,0.036534651585257,0.103033793919753
6021,Glenn,28393,13931,14462,518,811,361,12079,14624,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,29348,589,3,10.2221616464495,2006.95106991959,0.490649103652309,0.509350896347691,0.0182439333638573,0.0285633782974677,0.0127144014369739,0.425421758884232,0.515056528017469,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6023,Humboldt,135558,68317,67241,8288,4604,2821,16354,103491,55692,0.874,8031,0.126,0.6,4.7,42254,2778,1836,3570,2775,1435,2156,6614,305,1199,0.019,777,0.012,4460,0.07,10953,0.172,7858,0.123,10626,0.167,5425,0.085,9882,0.155,3914,0.061,8629,0.135,4.9,55692,52628,1441,1623,0.648,0.351,134098,497,8,5.96578621605095,370.624468672165,0.503968780890836,0.496031219109164,0.0611398810841116,0.0339633219728825,0.0208102804703522,0.120642086782042,0.763444429690612,63723,155,-28,6,18.1,2.39,32123,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0582199589572091,0.0291424262012497,0.0550168785462903
6025,Imperial,181215,88337,92878,1394,2394,4579,154088,18760,48182,0.827,10103,0.173,1.6,1.9,36952,504,2314,3735,4439,2225,1944,5732,440,2755,0.047,1489,0.026,10686,0.183,10931,0.188,8365,0.144,9741,0.167,5065,0.087,6068,0.104,1750,0.03,1435,0.025,5.1,48182,43457,3308,1417,0.842,0.159,191649,10811,317,165.40655051683,5641.0416960172,0.487470683994151,0.512529316005849,0.00769251993488398,0.0132108269183015,0.0252683276770687,0.850304886460834,0.103523439008912,58285,-75,-35,11,20.8,3.33,32610,Dominantly non-white,Hispanic or Latino,0,1,0.108728168074188,0.0294093229836869,0.0980656676767257
6027,Inyo,18039,9003,9036,2020,312,273,4230,11204,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,18453,188,15,81.2875955129247,1018.80453042866,0.499085315150507,0.500914684849493,0.111979599756084,0.0172958589722268,0.0151338766006985,0.234491934142691,0.6210987305283,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6029,Kern,900202,439168,461034,6600,46192,51358,491545,304507,272888,0.901,30039,0.099,1.4,4.7,215041,9503,8055,16457,10394,4778,14540,23934,225,14675,0.048,6738,0.022,50522,0.167,43406,0.143,50658,0.167,47414,0.157,30176,0.1,34267,0.113,13734,0.045,11337,0.037,5.1,272888,248569,17668,6651,0.804,0.195,927251,31534,369,39.7950500997033,3400.80517572912,0.487854948111646,0.512145051888354,0.00733168777674344,0.0513129275429293,0.0570516395209075,0.546038555790811,0.338265189368608,302927,28,-35,7,18.9,3.03,37553,Dominantly non-white,Hispanic or Latino,0,1,0.0978360133403602,0.0243726363929524,0.0891171469613908
6031,Kings,152940,68598,84342,1568,6518,10558,84514,49782,44761,0.953,2197,0.047,1.3,1.8,33478,1492,1854,3097,1100,322,3298,2291,26,1557,0.033,743,0.016,8899,0.19,8913,0.19,6591,0.14,7824,0.167,4914,0.105,2662,0.057,2728,0.058,2127,0.045,5.2,44761,39611,3528,1622,0.841,0.16,156444,7681,80,51.1365089105367,4909.7440617729,0.448528834837191,0.551471165162809,0.0102523865568197,0.0426180201386165,0.0690336079508304,0.552595789198379,0.325500196155355,46958,-20,-29,5,19,3.18,36105,Dominantly non-white,Hispanic or Latino,0,1,0.130014389942188,0.0362369026607985,0.115055517079601
6033,Lake,64386,32192,32194,1962,1109,1627,14171,45517,25968,0.751,8598,0.249,0.8,1.6,N,N,N,N,N,N,N,N,N,1238,0.036,454,0.013,4618,0.134,3958,0.115,7269,0.21,5844,0.169,4150,0.12,3211,0.093,2004,0.058,1820,0.053,5.1,,,,,0.797,0.204,64871,566,11,16.9567295093339,872.500809298454,0.499984468673314,0.500015531326686,0.0304724629577859,0.0172242412946914,0.0252694685180008,0.22009443046625,0.706939396763272,34566,86,-24,5,5.2,2.39,31111,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6035,Lassen,30573,11547,19026,1004,701,2647,5910,20311,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,30065,741,0,0,2464.65990354233,0.377686193700324,0.622313806299676,0.0328394334870638,0.0229287279625814,0.0865796617930854,0.193307820626043,0.664344356131227,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6037,Los Angeles,10039107,5090066,4949041,26946,1562454,842799,4881970,2724938,3328398,0.93,251025,0.07,1.1,4,1706954,210223,104052,215707,287412,274850,716568,60780,2877,74100,0.021,45678,0.013,186336,0.052,224846,0.063,417428,0.117,495151,0.138,526484,0.147,719433,0.201,353755,0.099,536212,0.15,4.5,3328398,2957157,217873,153368,0.551,0.45,10257557,269246,6551,63.8651094017806,2624.85502152218,0.50702378209536,0.49297621790464,0.00268410327731341,0.15563675135647,0.0839515905149731,0.486295245184656,0.271432309666587,3579423,-8,-40,13,42.2,2.98,41486,Dominantly non-white,Not Hispanic or Latino,0,0,0.125539834374705,0.0460786240107103,0.111537442337124
6039,Madera,157327,81442,75885,1987,3757,5536,92483,53564,44387,0.863,7053,0.137,0.9,2,40607,562,636,1612,1754,536,1172,4308,253,1852,0.036,956,0.019,11030,0.214,9968,0.194,7487,0.146,10014,0.195,3466,0.067,3621,0.07,2302,0.045,744,0.014,5.6,44387,39412,3916,1059,0.871,0.129,160089,4453,65,40.6024149067081,2781.57774737802,0.517660668543861,0.482339331456139,0.0126297456889154,0.0238801985673152,0.035187857138317,0.587839340990421,0.340462857615031,51440,144,-27,6,,3.57,31033,Dominantly non-white,Hispanic or Latino,0,1,0.126230589668121,0.0238583369004438,0.112082366458648
6041,Marin,258826,132209,126617,765,19540,7938,42160,188423,105298,0.929,8047,0.071,0,1.8,68372,8708,4105,5570,9413,6236,9350,1192,399,1458,0.013,851,0.008,4731,0.042,7259,0.064,9716,0.086,23100,0.204,22075,0.195,23736,0.209,6727,0.059,13692,0.121,5.4,105298,99272,3722,2304,0.612,0.389,260800,6692,119,45.6288343558282,2565.9509202454,0.510802624156769,0.489197375843231,0.00295565360512468,0.0754947339139036,0.0306692527025878,0.162889354237982,0.727991005540402,113345,21,-47,15,29.3,2.34,66616,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0607019099041019,0.0218807574692777,0.0572280575129632
6043,Mariposa,17203,8439,8764,551,306,323,2073,13950,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,17795,74,2,11.2391121101433,415.847148075302,0.490553973144219,0.509446026855781,0.0320292972156019,0.017787595186886,0.0187757949194908,0.120502237981747,0.810905074696274,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6045,Mendocino,86749,43728,43021,3916,2144,1177,22379,57133,34478,0.84,6549,0.16,1.2,4.5,30513,1127,1259,1259,701,469,1514,4097,88,327,0.008,316,0.008,3203,0.078,5134,0.125,6383,0.156,10378,0.253,3409,0.083,4554,0.111,2034,0.05,5289,0.129,4.9,34478,32162,1801,515,0.711,0.29,88439,854,18,20.3530116803673,965.637331946313,0.504074974927665,0.495925025072335,0.045141730740412,0.0247149823052715,0.0135678797450115,0.257974155321675,0.65860125188763,41027,134,-25,6,12.9,2.53,35808,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.072010447111498,0.0149370613144614,0.0671732699112478
6047,Merced,277680,137495,140185,1428,21240,9473,169442,76097,80645,0.934,5741,0.066,1.2,2.4,66690,1216,2254,3688,3173,1419,2133,5640,173,2444,0.028,1123,0.013,15883,0.184,12744,0.148,11535,0.134,15796,0.183,7968,0.092,8837,0.102,5268,0.061,4788,0.055,5.5,80645,75401,3339,1905,0.782,0.218,287420,8892,143,49.7529747407975,3093.73042933686,0.495156295015846,0.504843704984154,0.00514261019878997,0.0764909248055315,0.0341148084125612,0.610205992509363,0.274045664073754,86386,38,-29,7,18.4,3.25,36709,Dominantly non-white,Hispanic or Latino,0,1,0.0695481492287901,0.0236220472440945,0.0650257300514601
6049,Modoc,8841,4393,4448,297,124,173,1291,6956,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,9475,26,0,0,274.406332453826,0.496889492138898,0.503110507861102,0.0335934848998982,0.0140255627191494,0.0195679221807488,0.146024205406628,0.786788824793575,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6051,Mono,14444,6786,7658,274,427,192,3875,9676,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,13961,149,2,14.3256213738271,1067.25879235012,0.46981445582941,0.53018554417059,0.0189698144558294,0.0295624480753254,0.0132927166989754,0.268277485461091,0.669897535308779,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6053,Monterey,434061,212932,221129,1773,29293,12794,257721,132480,128227,0.895,14986,0.105,1.5,5.7,91673,8079,3739,6637,9957,7642,9853,5633,0,2932,0.02,1538,0.011,10076,0.07,21328,0.149,19162,0.134,24845,0.173,23108,0.161,20960,0.146,7822,0.055,11442,0.08,5,128227,110991,12970,4266,0.718,0.281,448732,9826,73,16.2680620058298,2189.72571601758,0.490557778745384,0.509442221254616,0.00408467934230442,0.0674859063587837,0.0294751198564257,0.593743736479435,0.305210557963051,143213,65,-33,6,26.1,3.14,45542,Dominantly non-white,Hispanic or Latino,0,1,0.155291870512024,0.0332691242873966,0.134417868311666
6055,Napa,137744,69209,68535,708,12977,3438,47660,72961,48107,0.864,7552,0.136,1,5.9,37094,2655,1488,2505,1844,1037,4140,4896,0,1918,0.034,500,0.009,5562,0.1,7355,0.132,7785,0.14,10847,0.195,6455,0.116,6856,0.123,3103,0.056,5278,0.095,5.4,48107,45269,1890,948,0.726,0.274,139652,1727,13,9.30885343568298,1236.64537564804,0.502446567545592,0.497553432454408,0.00513996979904751,0.0942110001161575,0.024959344871646,0.346004181670345,0.529685503542804,55659,78,-34,10,18.2,2.62,51912,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0626919083699662,0.019706071881431,0.0589934936703598
